,File,Commits
164,resources/lang/hu/accounts.php,51
165,resources/lang/id/notifications.php,51
166,resources/lang/bg/authorization.php,51
167,resources/lang/ko/beatmapsets.php,50
168,app/Http/Controllers/SessionsController.php,50
169,resources/lang/de/beatmaps.php,50
170,resources/lang/lv-LV/accounts.php,50
171,resources/js/core-legacy/nav2.coffee,49
172,resources/lang/fi/rankings.php,49
173,resources/lang/fi/scores.php,49
174,resources/js/scores-show/player.tsx,49
175,resources/lang/zh/users.php,49
176,resources/js/beatmap-discussions/beatmap-list.tsx,49
177,resources/lang/th/accounts.php,49
178,app/Exceptions/Handler.php,48
179,app/Libraries/Search/BeatmapsetSearchParams.php,48
180,app/Models/OAuth/Token.php,48
181,resources/lang/fil/users.php,48
182,resources/lang/sv/users.php,48
183,resources/lang/nl/beatmaps.php,48
184,resources/js/beatmap-discussions/main.tsx,48
185,resources/js/utils/beatmapset-discussion-helper.ts,48
186,resources/lang/lt/authorization.php,48
187,resources/lang/es/mail.php,48
188,resources/css/layout.less,47
189,app/Providers/AuthServiceProvider.php,47
190,resources/lang/kk-KZ/users.php,47
191,resources/lang/be/accounts.php,47
192,resources/lang/bg/beatmaps.php,47
193,resources/lang/id/mail.php,47
194,resources/lang/lt/accounts.php,47
195,resources/lang/pt-br/accounts.php,47
196,resources/lang/pt/accounts.php,47
197,resources/lang/ro/accounts.php,47
198,resources/lang/zh-tw/accounts.php,47
199,app/Libraries/BBCodeFromDB.php,46
200,tests/Controllers/ScoresControllerTest.php,46
201,resources/lang/tr/users.php,46
202,resources/lang/ko/events.php,46
203,resources/lang/nl/authorization.php,46
204,resources/lang/nl/accounts.php,46
205,app/Http/Controllers/BeatmapsetsController.php,45
206,app/Http/Controllers/Solo/ScoresController.php,45
207,resources/lang/da/users.php,45
208,resources/lang/hr-HR/users.php,45
209,resources/lang/id/legacy_api_key.php,45
210,resources/js/core/browser-title-with-notification-count.ts,44
211,resources/lang/fa-IR/users.php,44
212,resources/lang/el/accounts.php,44
213,resources/lang/lt/notifications.php,44
214,resources/js/beatmapsets-show/info.tsx,44
215,resources/css/bem/profile-badges.less,44
216,app/Http/Controllers/Multiplayer/RoomsController.php,43
217,resources/lang/es/layout.php,43
218,resources/lang/kk-KZ/beatmaps.php,43
219,resources/lang/es/home.php,43
220,resources/views/store/products/show.blade.php,43
221,resources/lang/sk/authorization.php,43
222,tests/Models/Multiplayer/ScoreLinkTest.php,43
223,resources/lang/cs/authorization.php,43
224,resources/lang/ar/authorization.php,43
225,resources/lang/fr/comments.php,43
226,resources/js/chat/input-box.tsx,43
227,app/Http/Controllers/BeatmapDiscussionsController.php,42
228,app/Http/Middleware/UpdateUserLastvisit.php,42
229,resources/lang/sk/users.php,42
230,resources/lang/sv/accounts.php,42
231,resources/lang/fr/rankings.php,42
232,resources/lang/nl/notifications.php,42
233,tests/Jobs/RemoveBeatmapsetSoloScoresTest.php,42
234,resources/js/components/comment-editor.tsx,42
235,resources/lang/fi/api.php,42
236,resources/lang/es/beatmappacks.php,41
237,resources/lang/fi/artist.php,41
238,resources/lang/fi/beatmap_discussions.php,41
239,resources/lang/he/users.php,41
240,resources/lang/no/users.php,41
241,resources/lang/ko/notifications.php,41
242,resources/lang/uk/accounts.php,41
243,resources/lang/ko/password_reset.php,41
244,tests/Models/Solo/ScoreEsIndexTest.php,41
245,resources/lang/ko/beatmappacks.php,41
246,resources/lang/ca/rankings.php,41
247,app/Libraries/BBCodeForDB.php,40
248,app/Models/Traits/UserAvatar.php,40
249,resources/js/components/comment.tsx,40
250,resources/lang/es/comments.php,40
251,resources/lang/es/events.php,40
252,tests/Models/Multiplayer/RoomTest.php,40
253,resources/lang/ro/authorization.php,40
